id,longitude,latitude
13009004,5.400869,43.272787
13009005,5.41759,43.246025
13009006,5.397555,43.240123
13009008,5.400869,43.272787
13010001,5.424137,43.279672
13010002,5.410519,43.268391
13010005,5.399276,43.286388
13010007,5.42156,43.269552
13010009,5.419147,43.276823
13010010,5.419521,43.26909
13010011,5.416828,43.268834
13011003,5.463303,43.290411
13011006,5.429641,43.286321
13011007,5.500082,43.299013
13011012,5.429641,43.286321
13011014,5.437381,43.284757
13011015,5.496492,43.297504
13011017,5.429641,43.286321
13011018,5.459781,43.291932
13011019,5.500082,43.299013
13012001,5.446798,43.298359
13012003,5.433268,43.295714
13012012,5.438956,43.30346
13012013,5.420776,43.290709
13012015,5.439855,43.31814
13012016,5.42707,43.297174
13012018,5.411585,43.304193
13012021,5.411585,43.304193
13012022,5.460647,43.307212
13012023,5.436628,43.299882
13012024,5.433268,43.295714
13013002,5.436867,43.352132
13013003,5.418267,43.322733
13013007,5.454509,43.334003
13013011,5.447627,43.323196
13013013,5.425311,43.345109
13013014,5.405071,43.317217
13013016,5.454459,43.323058
